Date,Start Time,End Time,Event
"Monday, 3rd February 2025",9:00,10:00,Pick up from Suvarnabhumi Airport (BKK)
"Monday, 3rd February 2025",10:00,11:30,Departure to Burapha University
"Monday, 3rd February 2025",11:30,12:00,Check-in at Burapha University Hotel
"Monday, 3rd February 2025",12:00,13:30,Registration and Lunch
"Monday, 3rd February 2025",13:30,14:00,Opening Ceremony
"Monday, 3rd February 2025",14:00,14:30,Bioinformatics Academic Association in Thailand (BAT) (Prof. Dr. Dumnoensun Pruksakorn)
"Monday, 3rd February 2025",14:30,15:00,Bioinformatics in TH (Dr. Surakameth Mahasirimongkol)
"Monday, 3rd February 2025",15:00,15:15,Coffee Break (snack and beverage)
"Monday, 3rd February 2025",15:15,19:30,Genomic Projects in Asia
"Monday, 3rd February 2025",19:30,21:30,Welcome Dinner
"Tuesday, 4th February 2025",9:00,10:00,Roundtable Session for Genomic Data
"Tuesday, 4th February 2025",10:00,10:15,Coffee Break (snack and beverage)
"Tuesday, 4th February 2025",10:15,12:00,Roundtable Session for Genomic Data
"Tuesday, 4th February 2025",12:00,13:00,Lunch
"Tuesday, 4th February 2025",13:00,13:15,Introduction to the Hackathon and BioHackrXiv
"Tuesday, 4th February 2025",13:15,15:00,Hackathon: Project Grouping
"Tuesday, 4th February 2025",15:00,15:15,Coffee Break (snack and beverage)
"Tuesday, 4th February 2025",15:15,16:30,Parallel sessions (Hackathon / Genomics Thailand tour)
"Wednesday, 5th February 2025",9:00,10:00,Roundtable Session for -omics Data
"Wednesday, 5th February 2025",10:00,10:15,Coffee Break (snack and beverage)
"Wednesday, 5th February 2025",10:15,12:00,Roundtable Session for -omics Data
"Wednesday, 5th February 2025",12:00,13:00,Lunch
"Wednesday, 5th February 2025",13:00,15:00,Hackathon
"Wednesday, 5th February 2025",15:00,15:15,Coffee Break (snack and beverage)
"Wednesday, 5th February 2025",15:15,16:30,Parallel sessions (Hackathon / Bangsaen city tour / Bangsaen aquarium)
"Thursday, 6th February 2025",9:00,10:00,Roundtable Session for Data Science and AI in Healthcare
"Thursday, 6th February 2025",10:00,10:15,Coffee Break (snack and beverage)
"Thursday, 6th February 2025",10:15,12:00,Roundtable Session for additional topics
"Thursday, 6th February 2025",12:00,13:00,Lunch
"Thursday, 6th February 2025",13:00,16:30,Writethon
"Friday, 7th February 2025",9:00,10:30,Wrap-up
"Friday, 7th February 2025",10:30,10:45,Coffee Break (snack and beverage)
"Friday, 7th February 2025",10:45,11:15,Closing Ceremony
"Friday, 7th February 2025",12:00,13:30,Departure from BUU to BKK